,Tweets,ID,TimeStamp,Source,Likes,Retweets,User
30,"RT @DWUhlfelderLaw: It took Florida 114 days to record its first 100,000 COVID-19 cases between March 1 and June 22. It took 13 days to rec…",1283419888124678145,2020-07-15 15:15:20,Twitter for iPhone,0,58,peasareevil
31,"RT @mmpadellan: Republicans realize that COVID-19 is so dangerous, they've decided to move their convention outdoors.

But they want OUR KI…",1283419887977795588,2020-07-15 15:15:20,Twitter Web App,0,2835,Obakeyashiki2
32,"RT @JimDeMint: Please stop the scare tactics. Life is full of serious risks for children, COVID is not one of them.",1283419887923167232,2020-07-15 15:15:20,Twitter for iPad,0,262,NVPatriot1
33,"RT @ASCETweets: “The federal government can create a more resilient country by building the roads, bridges, tunnels and public transit syst…",1283419887868706822,2020-07-15 15:15:20,Twitter for iPhone,0,11,Nicole_Boothman
34,Don't miss 17 July deadline 4 @NorfolkCF's photo competition! Send  pix of your projects showing #community support… https://t.co/7DP2b5a3XS,1283419887860318208,2020-07-15 15:15:20,Hootsuite Inc.,0,0,CANorfolk
35,"RT @BJP4India: ''India has sent medicines to nearly 150 countries during the Corona pandemic.
 
We appreciate the initiative of 'accelerati…",1283419887721869314,2020-07-15 15:15:20,Twitter for Android,0,12,ChandanRamDass
36,"RT @bigdaddyvinz: COVID has killed 570K people in the world and you're still alive, just use 10 seconds to thank GOD",1283419887650648067,2020-07-15 15:15:20,Twitter for iPhone,0,44491,___lexxiii_
37,"RT @AveryGWilks: School districts are developing their plans for instruction this fall amid COVID-19.

McMaster just asked state Education…",1283419887638065152,2020-07-15 15:15:20,Twitter for iPhone,0,5,jslovegrove
38,"RT @ProfSteveKeen: @_ClaireConnelly So frustrating to read this about my home town, when I'm living in Thailand, with 3 times Oz's populati…",1283419887608582145,2020-07-15 15:15:20,Twitter for Android,0,1,_ClaireConnelly
39,RT @wdunlap: @ChrisSt70887521 @BDockes @Fox35Amy @orlandohealth @fox35orlando We are being played... THERE IS NO SECOND WAVE and the United…,1283419887432597504,2020-07-15 15:15:20,Twitter for Android,0,512,CumberlandAcad2
40,In Silico Screening of Potent Bioactive Compounds from Honey Bee Products Against COVID-19 Target Enzymes by Yahya… https://t.co/8efukzICI4,1283419887143211008,2020-07-15 15:15:20,ChemRxivBot,0,0,ChemRxiv
41,"RT @AAPSonline: ""In my attempts to keep people alive ... the combination of HCQ, with either azithromycin or doxycycline, and zinc ... has…",1283419887126405126,2020-07-15 15:15:20,Twitter Web App,0,457,ladypatriot54
42,"RT @mmpadellan: Republicans realize that COVID-19 is so dangerous, they've decided to move their convention outdoors.

But they want OUR KI…",1283419887071825925,2020-07-15 15:15:20,Twitter Web App,0,2835,willoughby_12
43,"RT @SaraCarterDC: Florida's Covid-19 Reporting Raise Serious Questions As To The Extent Of Outbreak - Sara A. Carter

""Florida Department o…",1283419886971228160,2020-07-15 15:15:20,Twitter Web App,0,85,shoutgracegrace
44,"RT @SSRC_items: “The desire to put things back the way they were before not only assumes that the disaster was an aberration, it belies the…",1283419886790770690,2020-07-15 15:15:20,Twitter Web App,0,10,durgesh_leela
45,RT @2STEPNEV: A black student during covid missed a few online classes and her caseworker deemed her “a threat to her community”. She’s 15.…,1283419886765711363,2020-07-15 15:15:20,Twitter for iPhone,0,8332,Tierney_xoxoxo
46,@AimetBott @drewmikkelsenk5 @KING5Seattle Simmer down. Not sure where you get your zero risk data. Give me a break.… https://t.co/zItqJDbuto,1283419886752985088,2020-07-15 15:15:20,Twitter for iPhone,0,0,1971kjm
47,"RT @JacobGudiol: Thread explaining the current situation with the coronavirus (covid-19) in Sweden

If you want to know about the trend in…",1283419886576898049,2020-07-15 15:15:20,Twitter for iPhone,0,534,asviktig
48,"RT @ThePubliusUSA: BREAKING: Florida surpasses 300,000 COVID-19 cases, reporting 10,181 new infections today. Donald Trump and Gov. DeSanti…",1283419886367191042,2020-07-15 15:15:20,Twitter for Android,0,286,silentspring79
49,"RT @ShubhAm60498545: My Uncle Mr. Ranjeet Kr. was ammited COVID Unit-4 in NMCH, Patna is missing from the hospital. Hospital authority has…",1283419886291746816,2020-07-15 15:15:20,Twitter for Android,0,5,_shreekant_baba
50,RT @DidiKeBolo: The GoWB pays tribute to the frontliners who have lost their lives in this pandemic with #COVID warrior certificates and me…,1283419886203494400,2020-07-15 15:15:20,Twitter for Android,0,1,MalayMah
51,RT @nytopinion: Americans may think no one is handling the coronavirus worse than President Trump. But @felipeneto says President Jair Bols…,1283419886178492421,2020-07-15 15:15:20,Twitter for Android,0,4332,Gab_trincheira
52,"RT @MSNBC: “This is as real as it gets,” Leah Carpenter, nurse and CEO of Memorial Hospital West in Florida says on COVID-19.

“If we don’t…",1283419885801025536,2020-07-15 15:15:20,Twitter for Android,0,77,cwtillery
53,RT @statnews: Opinion: Wearing a face mask does not eliminate the risk of spreading Covid-19. But it prevents individuals who are infected…,1283419885767401472,2020-07-15 15:15:20,Twitter for Android,0,12,maine_mad
54,"RT @__AsiaB__: COVID exposed every flaw in our system. 

Education.
Healthcare. 
Unemployment. 
Wage disparities amongst minorities.

And s…",1283419885717118977,2020-07-15 15:15:20,Twitter for iPhone,0,32852,yikessonally
55,"RT @RepThomasMassie: If Trump is responsible for 120,000 COVID deaths, who’s responsible for 240,000+ flu deaths when Obama was President? 🧐",1283419885666570240,2020-07-15 15:15:20,Twitter for iPad,0,9381,Elizabe66124964
56,RT @valventress_: STOP BOOKING TRIPS TO PUERTO RICO. WE ARE BREAKING RECORDS ON COVID-19 CASES AND WE DON’T HAVE ENOUGH HOSPITAL BEDS OR RE…,1283419885633187842,2020-07-15 15:15:20,Twitter for iPhone,0,16620,coolkaylaa
57,RT @ClaireKerrane: The Government's response to the @sinnfeinireland Motion to extend maternity leave last night was an insult to parents f…,1283419885498925057,2020-07-15 15:15:20,Twitter Web App,0,7,RichardScrivGeo
58,"RT @DWUhlfelderLaw: It took Florida 114 days to record its first 100,000 COVID-19 cases between March 1 and June 22. It took 13 days to rec…",1283419885448523776,2020-07-15 15:15:20,Twitter for iPhone,0,58,JackiePeters
59,"Mandate and enforce masks. 

Among 139 clients exposed to two symptomatic hair stylists with confirmed COVID-19 whi… https://t.co/Qn5pAROx5i",1283419885402456064,2020-07-15 15:15:20,Twitter for iPhone,0,0,whiskyandwaves
60,"RT @heidilegg: When COVID hit, @TomAshbrook and I scanned the landscape for really knowledgeable voices for SWING STATE. In episode 2 we we…",1283419885289246720,2020-07-15 15:15:20,Twitter for iPhone,0,1,PodState
61,"RT @DWUhlfelderLaw: BREAKING:   Florida has passed 300,000 cases of COVID-19 after reporting 10,181 new cases and 112 new resident deaths t…",1283419885255577604,2020-07-15 15:15:20,Twitter Web App,0,667,calkel1961
62,"RT @Hickenlooper: COVID-19 cases are rising. There are testing and PPE shortages. How is the Senate on recess?

Washington’s failure to act…",1283419885054427138,2020-07-15 15:15:20,Twitter Web App,0,403,justinwojciech5
63,"RT @254NewsKe: One of Chuka University's seating plan under the @MOH_Kenya 's directive to halt the spread of COVID-19, in preparation for…",1283419884966248450,2020-07-15 15:15:20,Twitter for Android,0,1,AntonyBenard
64,RT @DeptVetAffairs: Mental health and suicide prevention during COVID-19 https://t.co/SVjpVKLn26 via #VAntagePoint,1283419884655988736,2020-07-15 15:15:19,Twitter for iPhone,0,7,dc_ova
65,"RT @FarooqA70066902: Priorities needs to be changed. 
Instead of Secretariat. Govt should have focused on #OsmaniaHospital.
As patients are…",1283419884571914241,2020-07-15 15:15:19,Twitter for Android,0,1,SaiBharathChow1
66,"RT @sarahcpr: White House releases guidance on how to stay COVID-free:

1. Don't get tested",1283419884429496321,2020-07-15 15:15:19,Twitter for Android,0,6349,bx4642
67,RT @USATODAY: Walmart and Sam's Club will require customers to wear masks at all its stores https://t.co/ZDcWfTISnL,1283419884312043520,2020-07-15 15:15:19,Twitter for iPhone,0,251,HisNameIsD
68,"RT @jcho710: An easier way to read my pinned tweet thread. It lays out what's going on w masks, COVID politicization, &amp; motives behind it.…",1283419884144275456,2020-07-15 15:15:19,Twitter for iPhone,0,9,pratt2Happy
69,"How many seniors in nursing homes have you killed today, @GovWhitmer? When are you going to stop placing COVID pati… https://t.co/k8u6oGTD3J",1283419884068704256,2020-07-15 15:15:19,Twitter for Android,0,0,JackDude20
70,RT @EmeraldRobinson: The biggest story in America today: more than 300 COVID testing labs in Florida reported 100% rates. Every person they…,1283419884009869313,2020-07-15 15:15:19,Twitter for iPhone,0,1636,Birdman6446Mark
71,"RT @SkyNews: #Coronavirus: Banksy sprays Tube with COVID-19 face mask message.

The street artist was filmed stencilling a London Undergrou…",1283419883753988096,2020-07-15 15:15:19,Twitter for iPhone,0,4952,samantha_pouls
72,"Live webinar on the new Report Release: Reopening K-12 schools During the COVID-19 Pandemic: Prioritizing Health, E… https://t.co/OLurIhu8qV",1283419883741552645,2020-07-15 15:15:19,TweetDeck,0,0,tjscience
73,"RT @DWUhlfelderLaw: BREAKING:   Florida has passed 300,000 cases of COVID-19 after reporting 10,181 new cases and 112 new resident deaths t…",1283419883624173569,2020-07-15 15:15:19,Twitter for iPhone,0,667,vlepree
74,"RT @DanaSchwartzzz: CARRIE: ""You're not going to wear a mask?""
MR. BIG: ""What? If I die, I die. That's life, toots.""

[typing] Mr. Big refu…",1283419883578052609,2020-07-15 15:15:19,Twitter Web App,0,4025,andyazcu
75,"@Hatspin @UKBorder @ukhomeoffice @Eurostar It's shambolic, and does nothing to protect the UK from COVID-19",1283419883569647616,2020-07-15 15:15:19,Twitter for Android,0,0,JulienHoez
76,Community members may also call 937-225-6217 with COVID-19 related questions.,1283419883527708672,2020-07-15 15:15:19,Twitter Web App,0,0,TimsDesiree
77,"RT @__AsiaB__: COVID exposed every flaw in our system. 

Education.
Healthcare. 
Unemployment. 
Wage disparities amongst minorities.

And s…",1283419883464724482,2020-07-15 15:15:19,Twitter for iPhone,0,32852,JordanOrtiz34
78,The president and many in GOP claimed this was a hoax and failed to act early and efficiently to protect Americans.… https://t.co/J78LTdID1k,1283419883418656775,2020-07-15 15:15:19,Twitter Web App,0,0,IndivisibleCRIA
79,RT @RealGM: NBA Addressing Concerns Over Possible False Positive COVID-19 Tests https://t.co/tiM4TVQV0M,1283419883280228352,2020-07-15 15:15:19,Twitter for iPhone,0,2,RickyRoseYT
80,RT @peterls1605: Next Global Platform webinar: Gender perspectives on Covid-19 and older people in low and middle-income countries. 24 July…,1283419883108171776,2020-07-15 15:15:19,Twitter for iPhone,0,8,Gender_COVID19
81,RT @KamalaHarris: Black folks aren’t receiving the same kind of treatment that others receive in our health care system—and for some it has…,1283419883095678978,2020-07-15 15:15:19,Twitter for Android,0,296,by5860
82,RT @SirMowwz: Other countries are really out here Covid free. Just look at us... musty https://t.co/7OSVn3c0tl,1283419882915127297,2020-07-15 15:15:19,Twitter for iPhone,0,58819,seokjinnin
83,"RT @drscott_atlanta: Then why don’t you stop playing politics and start using SCIENCE &amp; MEDICINE

LIKE

Early treatment with #Hydroxychloro…",1283419882835632134,2020-07-15 15:15:19,Twitter for Android,0,17,ebenezercamedes
84,"RT @WoUntoThem: Wow! ""Arkansas National Guard rounding up covid patients to put into isolation camps."" -Matt Couch 
Soon it will be Auschwi…",1283419882718208001,2020-07-15 15:15:19,Twitter for Android,0,121,chuck_rowland
85,"RT @sarahcpr: White House releases guidance on how to stay COVID-free:

1. Don't get tested",1283419882613346304,2020-07-15 15:15:19,Twitter for iPad,0,6349,TeresaKortus
86,RT @nazirafzal: Whenever I asked someone if they had “read” something &amp; they replied with “I’m aware of it” I knew it meant they hadn’t rea…,1283419882596466690,2020-07-15 15:15:19,Twitter for iPhone,0,302,Andybravery2
87,@Patriotawake383 @brian20200220 @TrumpWarRoom By the time vaccine will be available - Covid 20 will be here and so… https://t.co/1ue3E5RIDr,1283419882579734530,2020-07-15 15:15:19,Twitter for iPhone,0,0,Alena77198788
88,RT @JaniceDean: ICYMI @jaketapper @drsanjaygupta knocking down @NYGovCuomo a few notches for his disgusting Covid mountain poster and Virus…,1283419882487504900,2020-07-15 15:15:19,Twitter for Android,0,241,rotten54625765
89,revolutionary my dude its almost like my lil costal town hasnt had a single case of covid- oh wait 🙃🙃,1283419882445590528,2020-07-15 15:15:19,Twitter for iPhone,0,0,sizhuiwen
90,"RT @therealxolo: pink Mary Mary new covid-19 pills for u to order plz WhatsApp +27638082914
@helarionD
@pinkmarymary2
#pinkmarymaryfatburne…",1283419882445570048,2020-07-15 15:15:19,Twitter for Android,0,270,_Pherro
91,CMS Administrator Seema Verma and Assistant Secretary of the Department of Health and Human Services (HHS) Admiral… https://t.co/CDxjScMFnL,1283419882403565575,2020-07-15 15:15:19,Hootsuite Inc.,0,0,CHCAlbany
92,"RT @mmpadellan: Republicans realize that COVID-19 is so dangerous, they've decided to move their convention outdoors.

But they want OUR KI…",1283419882395258885,2020-07-15 15:15:19,Twitter for iPhone,0,2835,argusdog1206
93,"RT @SimaforTX: Members of the Hispanic community are 4x more likely to be hospitalized for #COVID19 than their white counterparts, accordin…",1283419882361622528,2020-07-15 15:15:19,Twitter for iPhone,0,74,Lisa_Iannucci
94,"RT @RealCandaceO: This is a major story. The Florida Department of Health has been caught red-handed, increasing the Covid-19 case number b…",1283419882319687683,2020-07-15 15:15:19,Twitter for Android,0,9478,EuniteQ
95,"RT @DanaSchwartzzz: CARRIE: ""You're not going to wear a mask?""
MR. BIG: ""What? If I die, I die. That's life, toots.""

[typing] Mr. Big refu…",1283419882261028872,2020-07-15 15:15:19,Twitter Web App,0,4025,MF_Greatest
96,"RT @BobHBark: This is what COVID-19 does to you, still think it’s worth it to dine in at Chili’s? https://t.co/FMwYovjrI9",1283419882206507008,2020-07-15 15:15:19,Twitter for iPhone,0,19310,RealFastC_
97,"You and @joniernst are reading from the same page of the GOP playbook. When COVID came to the US, it became the res… https://t.co/6Fv4ISMVO5",1283419882105831430,2020-07-15 15:15:19,Twitter Web App,0,0,IndivisibleCRIA
98,"RT @DanaSchwartzzz: CARRIE: ""You're not going to wear a mask?""
MR. BIG: ""What? If I die, I die. That's life, toots.""

[typing] Mr. Big refu…",1283419882034532358,2020-07-15 15:15:19,Twitter for iPhone,0,4025,jocelynnn21
99,So covid data is getting sent to the trump admin and not to the CDC....  Y'all know that they are trying to downpla… https://t.co/skvvWtJziE,1283419881967362049,2020-07-15 15:15:19,Twitter Web App,0,0,Lee_P2
